"name","datetime","tempmax","tempmin","temp","feelslikemax","feelslikemin","feelslike","dew","humidity","precip","precipprob","precipcover","preciptype","snow","snowdepth","windgust","windspeed","winddir","sealevelpressure","cloudcover","visibility","solarradiation","solarenergy","uvindex","severerisk","sunrise","sunset","moonphase","conditions","description","icon","stations"
"Singapore",2015-01-01,27.9,25,26.3,30.5,25,27.3,23,82.2,0.521,100,4.17,"rain",0,0,32.8,18.9,11.8,1011.2,86.8,8.4,67.7,5.9,2,NA,2015-01-01 07:06:28,2015-01-01 19:09:19,0.36,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.","rain","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-02,30,24.7,27.1,33.1,24.7,28.6,22.3,75.8,0,0,0,NA,0,0,37.1,29.2,20.2,1011.7,87.1,9.6,198.4,17.2,7,NA,2015-01-02 07:06:56,2015-01-02 19:09:48,0.39,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-03,30.9,24.9,27.5,34.5,24.9,29.3,22.2,73.7,0,0,0,NA,0,0,31,22.5,3.3,1011,83.6,9.8,244.4,21.1,8,NA,2015-01-03 07:07:23,2015-01-03 19:10:16,0.43,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
"Singapore",2015-01-04,32,24.7,28.1,36.5,24.7,30.1,22,70.5,0,0,0,NA,0,0,31,19.7,348.1,1009.9,82.8,10.1,206.4,17.9,8,NA,2015-01-04 07:07:50,2015-01-04 19:10:44,0.46,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-05,32.6,25.7,28.3,36,25.7,30.6,22.3,70.6,0,0,0,NA,0,0,29.2,16,351.1,1009.2,87.2,10,228.9,19.8,8,NA,2015-01-05 07:08:17,2015-01-05 19:11:12,0.5,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-06,32.1,25,27.2,37.7,25,28.8,24,83.5,19.1,100,8.33,"rain",0,0,42.5,15.8,3.8,1008.7,83.2,9,210,18.1,7,NA,2015-01-06 07:08:43,2015-01-06 19:11:39,0.53,"Rain, Partially cloudy","Partly cloudy throughout the day with rain.","rain","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-07,31.3,24.9,26.9,35.8,24.9,28.4,23.8,83.8,19.1,100,8.33,"rain",0,0,24.5,14.3,358.8,1009.3,84.4,9.4,222.1,19.1,8,NA,2015-01-07 07:09:09,2015-01-07 19:12:06,0.56,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.","rain","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-08,30.4,24.7,26.3,35.6,24.7,27.4,23.6,85.6,0.695,100,12.5,"rain",0,0,40.7,16.6,16.2,1010.7,84.2,9.7,140.1,12,5,NA,2015-01-08 07:09:34,2015-01-08 19:12:32,0.6,"Rain, Partially cloudy","Partly cloudy throughout the day with rain.","rain","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-09,27.6,24.6,25.4,30.4,24.6,25.8,23,87,0.348,100,8.33,"rain",0,0,31.3,16.4,347.5,1011.9,89.5,9.6,66.8,5.7,3,NA,2015-01-09 07:09:59,2015-01-09 19:12:58,0.63,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.","rain","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
"Singapore",2015-01-10,31.6,23.9,26.3,36.2,23.9,27.6,23,83,28.65,100,8.33,"rain",0,0,29.9,18.2,15,1010.6,83.9,9.9,191,16.5,8,NA,2015-01-10 07:10:23,2015-01-10 19:13:24,0.66,"Rain, Partially cloudy","Partly cloudy throughout the day with rain.","rain","48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
