name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Singapore,2018-01-01,26.9,24,25.2,29.8,24,25.7,23.9,92.4,112.461,100,20.83,rain,0,0,29.9,11.5,9.7,1007.7,82,8.4,85.6,7.4,3,,2018-01-01T07:06:35,2018-01-01T19:09:26,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2018-01-02,27.5,24.9,25.7,31.2,24.9,26.3,24.1,90.9,2.808,100,16.67,rain,0,0,21.6,14.5,33.3,1007.4,78.9,9.6,53.3,4.7,2,,2018-01-02T07:07:02,2018-01-02T19:09:55,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2018-01-03,31.9,24.6,26.8,36.1,24.6,28.4,24.1,86.4,1.815,100,8.33,rain,0,0,31.7,14.8,27.8,1007.6,84.8,9.2,146.7,12.6,7,,2018-01-03T07:07:30,2018-01-03T19:10:23,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2018-01-04,28.9,25.6,26.9,33.8,25.6,28.8,24.3,86.3,0.174,100,4.17,rain,0,0,23.8,19.4,26.8,1008,85.5,10,134.4,11.7,5,,2018-01-04T07:07:57,2018-01-04T19:10:51,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2018-01-05,28.9,25.6,26.7,33.4,25.6,27.9,23.9,85,1.264,100,12.5,rain,0,0,19.1,14.6,327.7,1008.3,85.6,9.7,79.3,7,3,,2018-01-05T07:08:23,2018-01-05T19:11:18,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2018-01-06,30.8,24.9,27.6,35.9,24.9,30.2,24,81.5,0.026,100,4.17,rain,0,0,20.5,12.9,53.7,1008.1,89,10,149.3,12.9,8,,2018-01-06T07:08:49,2018-01-06T19:11:45,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2018-01-07,30.8,25.4,27.3,36.4,25.4,29.4,24.3,84.1,3.955,100,4.17,rain,0,0,22.7,19.5,66.7,1008.9,82.9,9.5,118,10.2,8,,2018-01-07T07:09:15,2018-01-07T19:12:12,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2018-01-08,32,23.6,27.1,36.9,23.6,29,23.6,82.2,40.859,100,12.5,rain,0,0,18.7,15,31.9,1009.6,86.8,9.1,145.3,12.6,6,,2018-01-08T07:09:40,2018-01-08T19:12:39,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2018-01-09,32.4,25.9,27.7,38.1,25.9,29.7,24,81.1,2.263,100,8.33,rain,0,0,26.6,17.6,353,1010.5,82.5,9.8,146.6,12.5,6,,2018-01-09T07:10:04,2018-01-09T19:13:04,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
Singapore,2018-01-10,26.9,23.6,25.3,29.8,23.6,25.6,23.4,89.5,29.299,100,20.83,rain,0,0,25.6,16.6,346.5,1011.6,92,8.6,37.6,3.2,1,,2018-01-10T07:10:28,2018-01-10T19:13:30,0.77,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
