Region,Station,Date,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Latitude,Longitude
North,Admiralty,01/01/2020,0,0.0,0.0,0.0,27.5,31.1,25.4,22.0,56.5,1.4439,103.7854
North,Admiralty,02/01/2020,0,0.0,0.0,0.0,27.7,30.7,25.9,24.5,60.5,1.4439,103.7854
North,Admiralty,03/01/2020,0,0.0,0.0,0.0,27.9,32.7,24.8,20.2,51.1,1.4439,103.7854
North,Admiralty,04/01/2020,0.4,0.4,0.4,0.4,29.2,35.7,26.0,13.7,34.6,1.4439,103.7854
North,Admiralty,05/01/2020,8.6,2.6,4.4,8.6,26.3,30.4,24.7,9.7,41.5,1.4439,103.7854
North,Admiralty,06/01/2020,10,4.8,,,26.4,30.4,24.2,11.1,38.9,1.4439,103.7854
North,Admiralty,07/01/2020,5.6,5.6,5.6,5.6,28.7,32.3,24.6,8.2,34.3,1.4439,103.7854
North,Admiralty,08/01/2020,1,0.4,0.6,0.8,28.4,32.3,24.5,8.8,34.3,1.4439,103.7854
North,Admiralty,09/01/2020,1.4,1.4,1.4,1.4,28.9,32.7,26.8,10.3,37.4,1.4439,103.7854
North,Admiralty,10/01/2020,8,5.0,5.2,5.4,26.5,29.6,23.9,9.9,32.4,1.4439,103.7854
North,Admiralty,11/01/2020,0,0.0,0.0,0.0,27.3,32.0,24.6,11.3,35.0,1.4439,103.7854
North,Admiralty,12/01/2020,0,0.0,0.0,0.0,28.6,32.6,25.1,12.1,26.7,1.4439,103.7854
North,Admiralty,13/01/2020,0,0.0,0.0,0.0,27.2,31.7,24.3,19.1,43.6,1.4439,103.7854
North,Admiralty,14/01/2020,0,0.0,0.0,0.0,27.2,31.8,24.6,20.9,45.0,1.4439,103.7854
North,Admiralty,15/01/2020,1,1.0,1.0,1.0,27.2,30.5,25.2,19.8,49.0,1.4439,103.7854
North,Admiralty,16/01/2020,0.2,0.2,0.2,0.2,27.5,31.6,25.9,17.3,38.9,1.4439,103.7854
North,Admiralty,17/01/2020,0,0.0,0.0,0.0,27.8,32.4,24.8,19.8,42.8,1.4439,103.7854
North,Admiralty,18/01/2020,0.2,0.2,0.2,0.2,27.7,32.1,25.4,19.1,43.9,1.4439,103.7854
North,Admiralty,19/01/2020,0,0.0,0.0,0.0,28.0,32.6,25.6,22.0,47.9,1.4439,103.7854
North,Admiralty,20/01/2020,0,0.0,0.0,0.0,27.6,31.5,25.8,22.0,55.1,1.4439,103.7854
North,Admiralty,21/01/2020,24.6,10.6,12.6,13.8,25.9,27.6,24.1,19.4,50.0,1.4439,103.7854
North,Admiralty,22/01/2020,0,0.0,0.0,0.0,27.6,31.6,25.0,23.0,49.7,1.4439,103.7854
North,Admiralty,23/01/2020,0,0.0,0.0,0.0,27.7,31.9,25.2,19.8,46.1,1.4439,103.7854
North,Admiralty,24/01/2020,0,0.0,0.0,0.0,27.6,31.3,25.0,21.2,47.5,1.4439,103.7854
North,Admiralty,25/01/2020,0,0.0,0.0,0.0,27.6,32.7,24.4,19.4,41.0,1.4439,103.7854
North,Admiralty,26/01/2020,0,0.0,0.0,0.0,28.1,33.7,24.8,17.3,41.0,1.4439,103.7854
North,Admiralty,27/01/2020,39.8,22.2,33.6,39.0,27.4,33.3,23.8,16.2,35.3,1.4439,103.7854
North,Admiralty,28/01/2020,0,0.0,0.0,0.0,28.2,33.0,25.7,16.9,38.9,1.4439,103.7854
North,Admiralty,29/01/2020,54.2,22.4,25.4,26.0,26.0,29.3,23.3,12.6,52.2,1.4439,103.7854
North,Admiralty,30/01/2020,0,0.0,0.0,0.0,26.9,31.8,23.4,17.6,44.6,1.4439,103.7854
North,Admiralty,31/01/2020,0,0.0,0.0,0.0,27.9,31.9,25.7,22.3,52.2,1.4439,103.7854
North,Admiralty,01/02/2020,0,0.0,0.0,0.0,27.4,30.3,25.0,20.2,57.6,1.4439,103.7854
North,Admiralty,02/02/2020,0,0.0,0.0,0.0,27.2,30.9,25.5,25.2,61.6,1.4439,103.7854
North,Admiralty,03/02/2020,0,0.0,0.0,0.0,28.0,32.8,24.9,19.1,43.9,1.4439,103.7854
North,Admiralty,04/02/2020,5,3.0,4.6,5.0,28.5,35.2,25.3,15.4,51.1,1.4439,103.7854
North,Admiralty,05/02/2020,0,0.0,0.0,0.0,28.1,31.7,25.5,11.7,32.8,1.4439,103.7854
North,Admiralty,06/02/2020,19.4,7.8,,,28.1,35.6,24.3,9.7,32.4,1.4439,103.7854
North,Admiralty,07/02/2020,0,0.0,0.0,0.0,29.0,31.5,27.2,9.6,34.6,1.4439,103.7854
North,Admiralty,08/02/2020,0,0.0,0.0,0.0,29.0,32.4,26.7,8.4,25.9,1.4439,103.7854
North,Admiralty,09/02/2020,2.4,2.0,2.0,2.0,28.2,32.9,26.1,11.4,33.9,1.4439,103.7854
North,Admiralty,10/02/2020,0,0.0,0.0,0.0,27.6,32.5,24.4,10.4,36.7,1.4439,103.7854
North,Admiralty,11/02/2020,10.2,5.8,6.8,6.8,26.8,33.0,23.6,13.0,50.0,1.4439,103.7854
North,Admiralty,12/02/2020,0,0.0,0.0,0.0,27.9,31.5,26.3,13.4,30.2,1.4439,103.7854
North,Admiralty,13/02/2020,0,0.0,0.0,0.0,28.0,32.3,25.6,20.5,42.1,1.4439,103.7854
North,Admiralty,14/02/2020,0,0.0,0.0,0.0,28.0,32.6,25.4,20.2,41.8,1.4439,103.7854
North,Admiralty,15/02/2020,0,0.0,0.0,0.0,28.4,34.8,24.7,14.0,31.7,1.4439,103.7854
North,Admiralty,16/02/2020,4.6,2.2,2.6,3.8,27.5,35.5,24.7,12.6,34.2,1.4439,103.7854
North,Admiralty,17/02/2020,0,0.0,0.0,0.0,28.1,33.2,25.5,19.1,48.2,1.4439,103.7854
North,Admiralty,18/02/2020,1,0.8,1.0,1.0,26.4,29.4,23.9,20.9,53.3,1.4439,103.7854
North,Admiralty,19/02/2020,0,0.0,0.0,0.0,27.6,32.0,25.6,23.0,55.8,1.4439,103.7854
North,Admiralty,20/02/2020,1,0.8,0.8,0.8,27.4,31.6,25.0,25.2,59.8,1.4439,103.7854
North,Admiralty,21/02/2020,4.8,1.4,1.6,2.6,26.6,29.7,24.0,21.6,65.9,1.4439,103.7854
North,Admiralty,22/02/2020,0,0.0,0.0,0.0,27.5,30.6,25.5,25.2,60.5,1.4439,103.7854
North,Admiralty,23/02/2020,0,0.0,0.0,0.0,27.5,31.0,25.1,25.6,59.8,1.4439,103.7854
North,Admiralty,24/02/2020,0.2,0.2,0.2,0.2,26.8,29.7,25.6,24.1,69.8,1.4439,103.7854
North,Admiralty,25/02/2020,0,0.0,0.0,0.0,27.7,31.6,25.2,23.0,50.8,1.4439,103.7854
North,Admiralty,26/02/2020,0,0.0,0.0,0.0,27.9,32.4,25.1,22.3,49.0,1.4439,103.7854
North,Admiralty,27/02/2020,0,0.0,0.0,0.0,28.1,32.8,25.3,21.6,47.2,1.4439,103.7854
North,Admiralty,28/02/2020,0,0.0,0.0,0.0,28.0,32.3,25.4,22.0,47.5,1.4439,103.7854
North,Admiralty,29/02/2020,0,0.0,0.0,0.0,27.8,32.5,24.9,22.3,45.7,1.4439,103.7854
North,Admiralty,01/03/2020,0.2,0.2,0.2,0.2,27.5,30.4,25.7,22.7,52.2,1.4439,103.7854
